Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
a,none,absential
AB ,none,absential
ABS,none,absolute state
ABSN,none,absent referent
ABSTR,none,abstract
AGT,none,agentive
ANT,none,anterior
APPL,APPL,applicative
APPR ,none,approaching
BDP,none,bodily process
BE,none,bound element
BEN,BEN,benefactive
BR,none,bound root
CAUS,CAUS,causative
CL,,(unclear)
CLF,none,classifier
CO,none,co participant
CONJ,none,conjunction
CSL,none,causal
d,DIST,distal
D,none,dummy element
DEF,none,definite
DEM,DEM,demonstrative
DET,DET,determiner
DETR,none,detransitivization
DIR,none,directional
DR,none,bivalent direct
DR2,none,secondary direct marker
DSC,none,discontinutative
DUB,none,dubitative
DUR,DUR,durative
DYN,none,dynamic
el,none,elevated
EMPH,none,emphatic
EV,none,evidential
EVD,none,evidential
EXCL,EXCL,exclusive
f,F,feminine
FRUST,none,frustrative
FUT,FUT,future
HESIT,none,hesitation
HORT,none,hortative
HYP,none,hypothetical
IJ,none,interjection
IM,none,immediately/impossibly
IMP,IMP,imperative
INAL,none,inalianable possession
INC,INCL,inclusive
INSTR,none,instrumental nominalization
INT,none,intensifier
INTJ,none,interjection
INTR,INTR,intransitive
intr,INTR,intransitive
INV,none,bivalent inverse
IRR,IRR,irrealis
ITN,none,intentional
LINK,none,linking nasal
LN,none,linking nasal
LOC,none,location
LV,none,linking vowel
m ,M,masculine
MD ,none,middle voice
MLT,none,multiple event
MOD,none,modal
n,N,neuter
N,none,noun
NEG,NEG,negation
NMLZ,NMLZ,nominalizer
NMLZ.AGT,none,agent nominalizer
NMZ,none,action/state nominalization
nst,none,non-standing
ntr,none,neutral
NTR,none,neutral
OBL,OBL,oblique
OBV,none,obviative
p,PST,past
PH,none,phasal aspect
pl,PL,plural
PRC,none,process nominalization/verbalization
PRO,none,free pronoun
PROH,PROH,prohibitive
PSEUDO,none,pseudo
PST,PST,past
R,REFL,reflexive
R ,RECP,reciprocal
REAS,none,reason
RED,none,reduplication
REL,none,relativizer
RES,none,resultative
rtr,none,retreating
SNS,none,sensation
SPK,none,proximate to speaker
std,none,standing
TRC,none,truncated element
VBLZ,none,verbalization
VBZ,none,action verbialization
