Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
ADD,none,additive
ADP,none,adposition
COMPL,COMP,complementizer
COP,COP,copula
DEM,DEM,demonstrative
DRCT,none,directional
EMPH,none,emphatic
EXCL,none,exclamative
EZ,none,ezafe
F,F,feminine
FUT,FUT,future
IMP,IMP,imperative
IMPER,IMP,imperative
IND,IND,indicative
INDEF,INDF,indefinite
INDF,INDF,indefinite
INF,INF,infinitive
M,M,masculine
MOD,none,modality
NC,none,not considered
nc,none,not considered
NEG,NEG,negation
OBL,OBL,oblique
PL,PL,plural
POP,none,postposition
POSS,POSS,possessive
PPRF,none,pluperfect
PRF,PRF,perfect
PRO,none,pronoun
PROG,PROG,progressive
PROGR,PROG,progressive
PRS,PRS,present
PRT,none,particle
PST,PST,past 
PTCP,PTCP,participle
RECIP,none,reciprocal
RED,none,reduplication
REDUPL,none,reduplication
REFL,REFL,reflexive
SBJ,SBJV,subjunctive
SG,SG ,singular
SJB,SBJV,subjunctive
SUBJ,SBJV,subjunctive
VOC,VOC,vocative
