Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
A,A,agent-like argument of canonical transitive verb
ABL,ABL,ablative
ABS,ABS,absolutive
ACC,ACC,accusative
ADJ,ADJ,adjective
ADV,ADV,adverb(ial)
AGR,AGR,agreement
ALL,ALL,allative
ANTIP,ANTIP,antipassive
APPL,APPL,applicative
ART,ART,article
AUX,AUX,auxiliary
Back,(none),background  ‘tense’
CAUS,CAUS,causative
CLF,CLF,classifier
COM,COM,comitative
COMP,COMP,complementizer
COMPL,COMPL,completive
Concess,(none),concessive 
COND,COND,conditional
Consec,(none),consecutive
COP,COP,copula
CVB,CVB,converb
DAT,DAT,dative
DECL,DECL,declarative
DEF,DEF,definite
DEM,DEM,demonstrative
Dem1,(none),proximate demonstrative
Dem2,(none),present/given demonstrative
Dem3,(none),remote demonstrative
Dem4,(none),demonstrative fourth degree deixis
Dep,(none),(unclear)
DET,DET,determiner
DIST,DIST,distal
DISTR,DISTR,distributive
DU,DU,dual
DUR,DUR,durative
Emph,(none),emphasis
ERG,ERG,ergative
EXCL,EXCL,exclusive
Exclam.,(none),exclamative
Expect,(none),expectative aspect
Ext,(none),(unclear)
F,F,feminine
FOC,FOC,focus
Fr,(none),Fr-type subgender
FUT,FUT,future
GEN,GEN,genitive
IMP,IMP,imperative
Imper,IMP,imperative
Imprf,IPFV,imperfective aspect
Imprs,(none),impersonal
INCL,INCL,inclusive
IND,IND,indicative
Indef,INDF,indefinite
INDF,INDF,indefinite
INF,INF,infinitive
INS,INS,instrumental
Instr,INS,instrumental
INTR,INTR,intransitive
intrans.,INTR,intransitive
IPFV,IPFV,imperfective
IRR,IRR,irrealis
L,(none),linker
Lat,(none),lative
LF,(none),(unclear)
LOC,LOC,locative
M,M,masculine
Mk,(none),Mk-type subgender        
Mo,(none),Mo-type subgender
MP,(none),mediopassive voice
N,N,neuter
N-,N-,non- (e.g. NSG nonsingular/NPST nonpast)
N0,(none),neuter 0-type subgender
NEG,NEG,negation/negative
NMLZ,NMLZ,nominalizer/nominalization
NOM,NOM,nominative
Ob,OBJ,object
OBJ,OBJ,object
OBL,OBL,oblique
P,P,patient-like argument of canonical transitive verb
PASS,PASS,passive
past,PST,past tense
Pers,(none),personal
PFV,PFV,perfective
PL,PL,plural
POSS,POSS,possessive
PRED,PRED,predicative
Prep,(none),preposition
Pres,PRS,present tense
PRF,PRF,perfect
Pro,(none),pronoun
PROG,PROG,progressive
PROH,PROH,prohibitive
Prohib,(none),prohibative mood
PROX,PROX,proximal/proximate
PRS,PRS,present
PST,PST,past
PTCP,PTCP,participle
PURP,PURP,purposive
Q,Q,question particle/marker
QUOT,QUOT,quotative
Rec,RECP,reciprocal
Recip,RECP,reciprocal
RECP,RECP,reciprocal
REFL,REFL,reflexive
REL,REL,relative
RES,RES,resultative
S,S,single argument of canonical intransitive verb
SBJ,SBJ,subject
SBJV,SBJV,subjunctive
SG,SG,singular
Subj,S,single argument of canonical intransitive verb
TOP,TOP,topic
TR,TR,transitive
trans.,TR,transitive
Vent,(none),ventive
VOC,VOC,vocative
