Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
ABST,none,abstract
ACT,,(unclear)
ADDR,none,addressee
ADJ,ADJ,adjective
AG,none,agent nominalizer
ART,ART,article
BNF,BEN,benefactive
CAUS,CAUS,causative
COND,COND,conditional
COP,COP,copula
DIM,none,diminuitive
DISC,none,discourse particle
EMPH,none,emphatic
ETRG.AR,none,arabic borrowing
ETRG.FR,none,French borrowing
ETRG.MNK,none,Maninka borrowing
ETRG.PUL,none,Pular borrowing
EXC,none,exclamation
EXCL,EXCL,exclusive
EXCLM,none,exclamation
F,none,female (name)
FOC,FOC,focus
GER,none,gerund
HESIT,none,hesitation
IDENT,none,identification copula
IMP,IMP,imperative
INCL,INCL,inclusive
INDEF,INDF,indefinite
INF,INF,infinitive
INTERR,none,interrogative
INTERR,INTERR,interrogative
INTERR.INDER,,(unclear)
INTR,INTR,intransitive
LOC,LOC,locative
M,none,male (name)
NEG,NEG,negative
NMLZ,NMLZ,nominalizer
NOM,none,name
NOM,none,proper name
OPT,none,optative
ORDINAL,none,ordinal
PC,none,personal communication
PC.RES,,(unclear)
PL,PL,plural
POSS,POSS,possessive
POT,none,potential
PRF,none,perfect
PRS.N,,(unclear)
PST,PST,past
REFL,REFL,reflexive
REL,none,relator
REP,,(unclear)
RETR,,(unclear)
SEQ,none,sequential
SG,SG,singular
STAT,none,stative
SUPIN,,(unclear)
TOPON,,(unclear)
TR,TR,transitive
TRUH.FOC,none,assertion focus marker
TRUTH.FOC,none,truth focus marker
UNIV,none,universal quantifier
VERB.PL,none,verbal plurality
