Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
POSS,POSS,possessive
ADV,ADV,adverbial
ANA,,(unclear)
ATTR,none,stative
BEN ,BEN,benefactive
CAUSE,none,cause
CLASS,,(unclear)
COMPL,none,completive
CONJ,none,conjunction
DEI,,(unclear)
DEM,DEM,demonstrative
DET,DET,determiner
DIR,none,directional
DONE,,(unclear)
DS,none,different subject
EXCL,EXCL,exclusive
EXIST,none,existential
FOC,FOC,focsu
FOC,FOC,focus
FUT,FUT,future
GIV,none,given
IM.FUT,none,immediate future
IM.PST,none,immediate past
INF,INF,infinitive
INS,none,instrument
INTJ,none,interjection
IRR,IRR ,irrealis
LOC,LOC,locative
NEG,NEG,negation
NR,NMLZ,nominalizer
OBJ,OBJ,object
p ,PL,plural
PART,none,participle
PN,none,personal name
PREP,,(unclear)
PRIOR,none,prior
PROG,PROG,progressive
PRS,PRS,present
PST,PST,past
Q,none,question
REL,,(unclear)
REM.PST,none,remote past
RFL,REFL,reflexive
s,SG,singular
SF,none,stem former
SS,none,same subject
