Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
A,A,agent-like argument of canonical transitive verb
ABL,ABL,ablative
ABS,ABS,absolutive
ADJ,ADJ,adjective
ADV,ADV,adverb(ial)
AGR,AGR,agreement
ALL,ALL,allative
ANTIP,ANTIP,antipassive
APPL,APPL,applicative
ART,ART,article
AUX,AUX,auxiliary
BEN,BEN,benefactive
CAP,(none),captative verb
CAUS,CAUS,causative
CLF,CLF,classifier
CNG,(none),connegative
COLL,(none),collective
COM,COM,comitative
COMP,COMP,complementizer
COMPL,COMPL,completive
COND,COND,conditional
CONNREC,(none),(unclear)
COP,COP,copula
CVB,CVB,converb
DAT,DAT,dative
DECL,DECL,declarative
DEF,DEF,definite
DEM,DEM,demonstrative
DES,(none),desiderative
DET,DET,determiner
DETR,(none),detransitivizer/detransitive verb
DIST,DIST,distal
DISTR,DISTR,distributive
DRV,(none),(unclear)
DU,DU,dual
DUR,DUR,durative
EP,(none),epenthetic morpheme
ERG,ERG,ergative
EXCL,EXCL,exclusive
F,F,feminine
FACT,(none),factitive verb
FOC,FOC,focus
FRQ,(none),frequentative verb
FUT,FUT,future
GEN,GEN,genitive
IMP,IMP,imperative
INCL,INCL,inclusive
IND,IND,indicative
INDEF,INDF,indefinite
INDF,INDF,indefinite
INF,INF,infinitive
INS,INS,instrumental
INTR,INTR,intransitive
IPFV,IPFV,imperfective
IPFVZ,(none),imperfective verb marker
IRR,IRR,irrealis
IRREAL,IRR,irrealis
LAT,(none),lative
LOC,LOC,locative
LOCADV,(none),locative adverb
M,M,masculine
MOM,(none),momentaneous
MULT,(none),multiplicative
N,N,neuter
N-,N-,non- (e.g. NSG nonsingular/NPST nonpast)
NEG,NEG,negation/negative
NEG.EX,(none),existential negation
NMLZ,NMLZ,nominalizer/nominalization
NOM,NOM,nominative
O (as in 3SG.O),(none),Objective
OBJ,OBJ,object
OBL,OBL,oblique
OPT,(none),optative
P,P,patient-like argument of canonical transitive verb
PASS,PASS,passive
PFV,PFV,perfective
PL,PL,plural
POSS,POSS,possessive
PRED,PRED,predicative
PRF,PRF,perfect
PROG,PROG,progressive
PROH,PROH,prohibitive
PROX,PROX,proximal/proximate
PRS,PRS,present
PST,PST,past
PTCL,(none),particle
PTCP,PTCP,participle
PURP,PURP,purposive
Q,Q,question particle/marker
QUOT,QUOT,quotative
RECP,RECP,reciprocal
REFL,REFL,reflexive
REL,REL,relative
RES,RES,resultative
S,S,single argument of canonical intransitive verb
SBJ,SBJ,subject
SBJV,SBJV,subjunctive
SEM,(none),(unclear)
SG,SG,singular
TOP,TOP,topic
TR,TR,transitive
VBLZ,(none),verbalizer
VOC,VOC,vocative
