Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
1/2,none,first/second person
[I],none,code switch to Icari Dargwa
[R],none,code swtich Russian
MODAL,none,modal
ABL,ABL,ablative
ADJVZ,none,adjectivizer
ADVZ,none,adverbializer
ALLAT,ALL,allative
ANTE,none,spatial case 'before'
ATTR,none,attributive
CAUS,CAUS,causative
COMIT,COM,comitative
COMP,none,comparative
COND,COND,conditional
CVB,none,converb
DAT,DAT,dative
DEM,DEM,demonstrative
EMPH,none,emphatic particle
ERG,ERG,ergative
F,F,feminine
GEN,GEN,genitive
GL_FILLER,none,pause filler
HAB,HAB,habitual
HPL,none,human plural 
ICVB,none,imperfective converb
IMP,IMP,imperative
IN,none,spatial case 'in'
INDEF,INDF,indefinite
INF1,none,non-inflecting infinitive
INF2,none,inflecting infinitive
IPFV,IPFV,imperfective
LAT,none,lative
LOC,LOC,locative
M,M,masculine
MODQ,none,modal interrogative
MSD,none,masdar
N,N ,neuter
NC,none,not considered
NEG,NEG,negation
NMLZ,NMLZ,nominalizer
NPL,none,neuter plural
NUM,NUM,numeral
OBL,OBL,oblique
ORD,none,ordinal
PFV,PFV,perfective
PL,PL,plural
POST,none,spatial case 'behind'
PRET,none,preterite
PROH,none,prohibitive
PRS,PRS,present
PRT,PRT,particle
PST,PST,past
PTCP,PTCP,participle
REFL,REFL,reflexive
SG,SG,singular
SPR,none,spatial case 'on'
SUB,none,spatial case 'under'
