Gloss,LGR,Meaning
1,1,first person
1/2,none,
1/3,none,
2,2,second person
2/1,none,second person agent acting on first person patient
2/3,none,second person agent acting on third person patient
3,3,third person
3/1,none,third person agent acting on first person patient
3/2,none,third person agent acting on second person patient
3/3,none,third person agent acting on third person patient
A,ERG,ergative/ possessive
ADJ,ADJ,adjective
AP,none,(unclear)
APL,none,aplicative
AUM,none,augmentative
AUX,AUX,auxiliary
B,ABS,absolutive
CAUS,CAUS,causative
CN,CLF,numeral classifier
CONFAC,none,(unclear)
CUOT,QUOT,quotative
DEF,DEF,defnite
DEP,none,dependent
DES,none,desiderative
DF,none,diffuse action
DIM,none,diminutive
DISTR,DISTR,distributive
EST.POS,none,stative positional verb
EXCL,EXCL,exclusive
FI,none,(unclear)
FUT,FUT,future
IMP,IMP,imperative
IN,none,(unclear)
INC,none,incoative
INSTR,INS,instrumental
INT,none,intensive
IPFV,IPFV,imperfective
IT,none,intensive translative
ITER,none,iterative
LIM,none,(unclear)
LOC,LOC,locative
NEG,NEG,negative
NOM,NOM,nominative
ONOM,none,onomatopeia
PART,none,(unclear)
PE,none,(unclear)
PERM,none,permisive
PFV,PFV,perfective
PL,PL,plural
POS,none,positional
PP,none,(unclear)
PRON,none,pronoun
PSD,none,conditional past 
PSV,PASS,passive
REC,RECP,reciprocal
REFL,REFL,reflexive
REL,REL,relativizer
RPD,none,(unclear)
TRAS,none,translative
VRB,none,verbalizer,
