"lang","file","core_extended","speaker",wd_ID,wd,"start","end","ref","tx","ft","mb_ID","mb","doreco-mb-algn","ps","gl","ph_ID","ph"
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000001,"<p:>",0.000,0.228,"<p:>","<p:>","<p:>","m000001","<p:>","<p:>","<p:>","<p:>","p000001","<p:>","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000002,"<<fm>Entonse>",0.228,0.697,"0001_DoReCo_doreco_texi1237_JuanFlojo","Entonse tum pääñ, dyim, iichaʔ chyumeeñ,","Entonces, dicen que un hombre tiene dinero,","m000002","'entonse","****","partcl","entonces","p000002","<<fm>Entonse>","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000003,"<<ui>>",0.697,0.834,"0001_DoReCo_doreco_texi1237_JuanFlojo","Entonse tum pääñ, dyim, iichaʔ chyumeeñ,","Entonces, dicen que un hombre tiene dinero,","m000003","****","****","****","****","p000003","<<ui>>","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000004,"<p:>",0.834,2.280,"0001_DoReCo_doreco_texi1237_JuanFlojo","Entonse tum pääñ, dyim, iichaʔ chyumeeñ,","Entonces, dicen que un hombre tiene dinero,","m000004","<p:>","<p:>","<p:>","<p:>","p000004","<p:>","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000005,"tum",2.280,2.507,"0001_DoReCo_doreco_texi1237_JuanFlojo","Entonse tum pääñ, dyim, iichaʔ chyumeeñ,","Entonces, dicen que un hombre tiene dinero,","m000005","tum","****","num","un","p000005 p000006 p000007","t u m","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000006,"pääñ",2.507,2.971,"0001_DoReCo_doreco_texi1237_JuanFlojo","Entonse tum pääñ, dyim, iichaʔ chyumeeñ,","Entonces, dicen que un hombre tiene dinero,","m000006","pääñ,","****","s","hombre","p000008 p000009 p000010","p @: J","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000007,"dyim",2.971,3.146,"0001_DoReCo_doreco_texi1237_JuanFlojo","Entonse tum pääñ, dyim, iichaʔ chyumeeñ,","Entonces, dicen que un hombre tiene dinero,","m000007 m000008","y- däm","**** ****","affix- vi","3:A- decir","p000011 p000012 p000013","d_j i m","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000008,"<p:>",3.146,4.303,"0001_DoReCo_doreco_texi1237_JuanFlojo","Entonse tum pääñ, dyim, iichaʔ chyumeeñ,","Entonces, dicen que un hombre tiene dinero,","m000009","<p:>","<p:>","<p:>","<p:>","p000014","<p:>","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000009,"iichaʔ",4.303,4.541,"0001_DoReCo_doreco_texi1237_JuanFlojo","Entonse tum pääñ, dyim, iichaʔ chyumeeñ,","Entonces, dicen que un hombre tiene dinero,","m000010 m000011 m000012","y- 'êch -Da'","**** **** ****","affix- vi -affix","3/3- estar -CAUS","p000015 p000016 p000017 p000018","i: tS a ?","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000010,"chyumeeñ",4.541,5.092,"0001_DoReCo_doreco_texi1237_JuanFlojo","Entonse tum pääñ, dyim, iichaʔ chyumeeñ,","Entonces, dicen que un hombre tiene dinero,","m000013 m000014","y- tumeeñ","**** ****","affix- s","3:A- dinero","p000019 p000020 p000021 p000022 p000023 p000024","tS j u m E: J","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000011,"<p:>",5.092,6.609,"<p:>","<p:>","<p:>","m000015","<p:>","<p:>","<p:>","<p:>","p000025","<p:>","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000012,"<<fm>riko>",6.609,7.041,"0002_DoReCo_doreco_texi1237_JuanFlojo","riko.","está rico.","m000016","riko","****","adj","rico","p000026","<<fm>riko>","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000013,"<p:>",7.041,8.219,"<p:>","<p:>","<p:>","m000017","<p:>","<p:>","<p:>","<p:>","p000027","<p:>","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000014,"<<fm>Pero>",8.219,8.442,"0003_DoReCo_doreco_texi1237_JuanFlojo","****","****","m000018","****","****","****","****","p000028","<<fm>Pero>","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000015,"<<fm>despues>",8.442,8.994,"0004_DoReCo_doreco_texi1237_JuanFlojo","Pero despues maʔte ee Iichaʔ wäsnaʔ byandaʔ.","Tiene dos hijos.","m000019","****","****","****","****","p000029","<<fm>despues>","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000016,"<p:>",8.994,10.754,"0004_DoReCo_doreco_texi1237_JuanFlojo","Pero despues maʔte ee Iichaʔ wäsnaʔ byandaʔ.","Tiene dos hijos.","m000020","<p:>","<p:>","<p:>","<p:>","p000030","<p:>","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000017,"maʔte",10.754,11.176,"0004_DoReCo_doreco_texi1237_JuanFlojo","Pero despues maʔte ee Iichaʔ wäsnaʔ byandaʔ.","Tiene dos hijos.","m000021","****","****","****","****","p000031 p000032 p000033 p000034 p000035","m a ? t E","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000018,"<p:>",11.176,11.549,"0004_DoReCo_doreco_texi1237_JuanFlojo","Pero despues maʔte ee Iichaʔ wäsnaʔ byandaʔ.","Tiene dos hijos.","m000022","<p:>","<p:>","<p:>","<p:>","p000036","<p:>","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000019,"<<fp>ee>",11.549,11.651,"0004_DoReCo_doreco_texi1237_JuanFlojo","Pero despues maʔte ee Iichaʔ wäsnaʔ byandaʔ.","Tiene dos hijos.","m000023","****","****","****","****","p000037","<<fp>ee>","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000020,"Iichaʔ",11.651,12.023,"0004_DoReCo_doreco_texi1237_JuanFlojo","Pero despues maʔte ee Iichaʔ wäsnaʔ byandaʔ.","Tiene dos hijos.","m000024 m000025 m000026","y- 'êch -Da'","**** **** ****","affix- vi -affix","3/3- estar -CAUS","p000038 p000039 p000040 p000041","i: tS a ?","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000021,"wäsnaʔ",12.023,12.348,"0004_DoReCo_doreco_texi1237_JuanFlojo","Pero despues maʔte ee Iichaʔ wäsnaʔ byandaʔ.","Tiene dos hijos.","m000027 m000028","wäs -na'","**** ****","num -affix","dos -CN","p000042 p000043 p000044 p000045 p000046 p000047","w @ s n a ?","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000022,"byandaʔ",12.348,12.919,"0004_DoReCo_doreco_texi1237_JuanFlojo","Pero despues maʔte ee Iichaʔ wäsnaʔ byandaʔ.","Tiene dos hijos.","m000029 m000030 m000031","y- baan -da'","**** **** ****","affix- s -affix","3:A- hijo -PL","p000048 p000049 p000050 p000051 p000052 p000053 p000054","b j a n d a ?","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000023,"<p:>",12.919,15.006,"<p:>","<p:>","<p:>","m000032","<p:>","<p:>","<p:>","<p:>","p000055","<p:>","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000024,"Dyyoswachaj",15.006,15.723,"0005_DoReCo_doreco_texi1237_JuanFlojo","Dyyoswachaj.","Trabajan.","m000033 m000034 m000035 m000036","y- yoos wat -yaj","**** **** **** ****","affix- s vt -affix","3/3- trabajo hacer -3:PL","p000056 p000057 p000058 p000059 p000060 p000061 p000062 p000063 p000064","d_j j O s w a tS a h","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000025,"<p:>",15.723,18.932,"<p:>","<p:>","<p:>","m000037","<p:>","<p:>","<p:>","<p:>","p000065","<p:>","",""
"texi1237","doreco_texi1237_JuanFlojo",core,"TLF",w000026,"<<fm>I>",18.932,18.982,"0006_DoReCo_doreco_texi1237_JuanFlojo","I tum shyuutuʔ ee eñch yoswatp.","Y uno de sus hijos no trabaja. (alt: eñdyee dyyoswatp)","m000038","'i","****","conj","y","p000066","<<fm>I>","",""
