Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
TL,none,trial
A,none,transitive subject
ABIL,none,ability
ABL,ABL,ablative
ADN,none,adnominal
ART,ART,article
ASS,none,associative
BED,none,possessive classifier for bed possession
CARD,none,cardinal numeral
CAT,none,cataphoric
CC,none,clause combining particle
CL,CLF,classifier
COM,COM,comitative
CPL,COMP,complementizer
CPL,none,complementizer
CS,none,construct suffix
DAT,DAT,dative
DEICT,none,deictic
DEL,none,delimitative
DEM,DEM,demonstrative
DIR,none,directional
DIS,none,dissociative possessive suffix
DISC,none,discourse particle
DL,DU,dual
DOM,none,possessive classifier for domestic possession
DRINK,none,possessive classifier for drink possession
EAT,none,possessive classifier for eating possession
EMPH,none,emphatic
EMPH,none,emphatic particle
EV,none,epenthetic vowel
EX,EXCL,exclusive
FUT,FUT,future
GEN,GEN,genitive
HES,none,hesitation
HOUSE,none,possessive classifier for house possession
IMM,none,immediacy
IN,INCL,inclusive
INABIL1,none,inability
INTENS,none,intensifier
INTERJ,none,interjection
INTERJ,none,interjection
LOC,LOC,locative
MAN,none,manner adverb
MULT,none,multipicative
NC,none,not considered
NEG,NEG,negation
NMLZ,NMLZ,nominalization
NSG,none,nonsingular
NUM,none,numeral prefix
NY,none,not yet' negation
OBL,OBL,oblique
ORD,none,ordinal quantifier
PART,none,partitive article
PERS,none,personal
PFV,PFV,perfective
PL,PL,plural
POSS,POSS,possessive
PRO,none,pronoun
PROH,none,prohibitive
PROH,none,prohibitive 
PROSP,none,prospective marker
PROX,PROX,proximal
PURP,none,purpose
QUOT,QUOT,quotative
RCP,RECP,reciprocal
REC,none,reciprocal prefix
RED,none,reduplication
REL,none,relativizer
REL,none,relativizer
REM,none,remote past
SG,SG,singular
SIM,none,simultaneity
SP,none,specific
STAT,none,stative
TAM,none,tense aspect mood 
TAM1,none,tense aspect mood 1 
TEMP,none,temporial adverb
THING,none,placeholder word
VES,none,possessive classifier for vessel possession
VOC,VOC,vocative
ZERO,none,zero 
