Gloss,LGR,Meaning
0,(none),epenthetic element
1,1,first person
2,2,second person
3,3,third person
A,A,agent-like argument of canonical transitive verb
ABL,ABL,ablative
ABS,ABS,absolutive
ACC,ACC,accusative
ADJ,ADJ,adjective
ADV,ADV,adverb(ial)
AFFIRM,(none),affirmative
AGR,AGR,agreement
ALL,ALL,allative
ANAPH,(none),anaphoric
ANT,(none),anterior
ANTIP,ANTIP,antipassive
APPL,APPL,applicative
ART,ART,article
ASSUMP,(none),assumptive mood
AUX,AUX,auxiliary
BEN,BEN,benefactive
CAUS,CAUS,causative
CLF,CLF,classifier
COLL,(none),collective
COM,COM,comitative
COMP,COMP,complementizer
COMPL,COMPL,completive
COND,COND,conditional
Consec,(none),consecutive
CONT,(none),(unclear)
DECL,DECL,declarative
DEF,DEF,definite
DEM,DEM,demonstrative
Dem1,(none),proximate demonstrative
Dem2,(none),present/given demonstrative
Dem3,(none),remote demonstrative
DET,DET,determiner
DIM,(none),diminutive
DIST,DIST,distal
DIST,(none),distant
DISTR,DISTR,distributive
DU,DU,dual
DUB,(none),dubitative
DUR,DUR,durative
EMPH,(none),empathic
ERG,ERG,ergative
EXCL,EXCL,exclusive
F,F,feminine
FIN,(none),(unclear)
FOC,FOC,focus
FREQ,(none),frequentative
FUT,FUT,future
GEN,GEN,genitive
Gloss,LGR,Meaning
HAB,(none),habitual
HESIT,(none),hesitation
HOR,(none),(positionally) horizontal
IMP,IMP,imperative
IN,(none),(unclear)
INCL,INCL,inclusive
IND,IND,indicative
INDF,INDF,indefinite
INESS,(none),inessive
INF,INF,infinitive
INS,INS,instrumental
INST,INS,instrumental
INTERJ,(none),interjection
INTJ,(none),interjection
INTR,INTR,intransitive
INTS,(none),(unclear)
IPFV,IPFV,imperfective
IRR,IRR,irrealis
ITER,(none),interative
LOC,LOC,locative
M,M,masculine
N,N,neuter
NEG,NEG,negation/negative
NMLZ,NMLZ,nominalization
NOM,NOM,nominative
NTL,(none),neutral (position)
OBJ,OBJ,object
OBL,OBL,oblique
OPT,(none),optative
ORD,(none),ordinal numeral
PASS,PASS,passive
PFV,PFV,perfective
PL,PL,plural
POS,(none),positional
POSS,POSS,possessive
POST,(none),(unclear)
POT,(none),potential mood
PRED,PRED,predicative
PRF,PRF,perfect
PROG,PROG,progressive
PROH,PROH,prohibitive
Prohib,PROH,prohibitive
Prohib,PROH,prohibitive
PROP,(none),proper noun
PROX,PROX,proximate
PRS,PRS,present
PST,PST,past
PTCP,PTCP,participle
PURP,PURP,purposive
Q,Q,question
QUOT,QUOT,quotative
RCP,(none),reciprocal
RDP,(none),reduplication
RECP,RECP,reciprocal
REFL,REFL,reflexive
REL,REL,relative
RES,RES,resultative
RFL,(none),reflexive
S,S,single argument of canonical intransitive verb
SBJ,SBJ,subject
SBJV,SBJV,subjunctive
SEQ,(none),sequential
SG,SG,singular
SIM,(none),simultaneous aspect
SLIP,(none),slip of the tongue
SUPESS,(none),superessive
TOP,TOP,topic
TR,TR,transitive
U,(none),undergoer
VERT,(none),vertical
VOC,VOC,vocative
