Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
4,none,4th person
ACAUS,none,anticausative
ADJR,none,adjectivalizer
ADV,none,adverbalizer
ADVR,none,adverbalizer
ANA,none,anaphoric adnominal demonstrative
and3,none,conjunction type 3
and4,none,conjunction type 4
APPL,APPL,applicative
ART2,ART,basic specific article for second class nouns
ART2,ART,basic specific article for nouns of class 2
ART3,ART,basic specific article for class 3 nouns
CAUS,CAUS,causative
COMP1,COMP,complementizer
COMPL1,COMP,complementizer type 1
COMPL2,COMP,complementizer type 2
CONSEC,none,consecutive marker
CONT,none,adverb indicating event lasts for a while
DAT,DAT,dative 
DEM1,DEM,demonstrative type 1
DEM2,DEM,demonstrative type 2
DEM2,DEM,demonstrative type 2
DEM3,DEM,demonstrative type 3
DEM4,DEM ,demonstrative type 4
DEM5,DEM,demonstrative type 5
DEM6,DEM,demonstrative type 6
DEREL,none,derelational suffix
DIM,none,diminuitive
DYAD,none,2nd class noun referring to 2+ people in reciprocal kin relationship
EMPH2,none,emphatic particle
EX,EXCL,exclusive
EXC,EXCL,exclusive
GOAL,none,movement goal
H,,(unclear)
IMM,none,immediatness marker
IN,INCL,inclsuive
INDEF2,INDF,indefinite for 2nd class nouns
INDEF3,INDF,indefinite for 3rd class nouns
INTERJ,none,interjection
IPFV,IPFV,imperfective
LNK,none,linker
MULT,none,verb prefix indicating repetition and 2+ participants
NC,none,not considered
NEG,NEG,negation
NSPEC2,none,non-specific article for 2nd class nouns
NSPEC3,none,non-specific article for third class nouns
OBJ,none,object marker
OBJM,none,object marker
one2,none,one' for class 2 nouns
one3,none,one' for class 3 nouns
ORD,none,ordinal numbers prefix
other2,none,other' for class 2 nouns
other3,none,other' for class 3 nouns
PART,none,partitive
PL,PL,plural
PLM,none,plural marker
PN,none,personal name
POSS,POSS,possessive
PREP,none,preposition
PRON,none,personal pronoun
PTCL2,none,particle
RED,none,reduplication
REL,none,particle introducing relative clauses
SG,SG,singular
TAM1,none,tense/aspect/mood marker 1
TAM2,none,tense/aspect/mood marker 2
TAM3,none,tense/aspect/mood marker 3
TAM4,none,tense/aspect/mood marker 4
two2,none,two' for second class nouns
ZERO,none,empty argument position that refers to unambiguously retrievable argument
