Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
ABL,ABL,ablative
APPR,none,apprehensive mood
BEN,BEN,benefactive
CAUS,CAUS,causative
COM,COM,comitative
CONJ,none,conjunction
CSTVZR,none,causativizer
D.here,DEM,demostrative prox
D.UNF,DET,(unclear)
D.ID,DET,(unclear)
D.there,DEM,demonstrative dist
DEM,DEM,demonstrative
DIM,none,diminutive
du,DU,dual
DYAD,none,dyadic suffix
EMPH,none,emphasizer
ERG,ERG,ergative
excl,EXCL,exclusive
FEM,F,femenine
FILL,none,morphological filler
FILLER,none,morphological filler
FOC,FOC,focus prefix
FUT,FUT,future
GEN,GEN,genitive
h,none,high(er) on scale of animacy
HORT,none,hortative
INCH,none,inchoative marker
incl,INCL,inclusive
INTERJ,none,interjection
INTERR,none,interrogative
INTJ,none,interjection
IRR,IRR,irrealis mood
LOC,LOC,locative
NEG,NEG,negation
PCUST,none,customary past
PI,PST.IPFV,past imperfective
POSS,POSS,possesive
PP,PST.PRF,past perfective
PR,PRS,present
PRIV,none,privative suffix
R,none,realis mood
RESULT,(unclear),(unclear)
RR,RECP/REFL,reflexive/reciprocal
SEQ,none,sequential
sg,SG,singular
SUB,none,subordinate marker
TIME,none,temporal case marker
VBLZR,none,verbalizer
