"lang","file","core_extended","speaker",wd_ID,wd,"start","end",mc-zero,"ref","tx","ft","mb_ID","mb","doreco-mb-algn","ps","gl","ph_ID","ph","refind","isnref"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000001,"<p:>",0.000,3.504,"<p:>","<p:>","<p:>","<p:>","m000001","<p:>","<p:>","<p:>","<p:>","p000001","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000002,"q’uˁr",3.504,3.762,"## _ _","0001_DoReCo_doreco_taba1259_mc_tabasaran_belt","q’uˁr dustː axnu.","There were two friends.","m000002 m000003","q’uˁ r","**** ****","ln_num","two HSG","p000002 p000003 p000004","q_> u_?\ r","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000003,"dustː",3.762,4.020,"****","0001_DoReCo_doreco_taba1259_mc_tabasaran_belt","q’uˁr dustː axnu.","There were two friends.","m000004","dustː","****","np.h:s","friend(ABS)","p000005 p000006 p000007 p000008","d u s t:","0002","new"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000004,"axnu",4.020,4.338,"****","0001_DoReCo_doreco_taba1259_mc_tabasaran_belt","q’uˁr dustː axnu.","There were two friends.","m000005 m000006 m000007","a x nu","**** **** ****","v:predex","PFV (HSG)become PST","p000009 p000010 p000011 p000012","a x n u","****","****"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000005,"<p:>",4.338,6.055,"<p:>","<p:>","<p:>","<p:>","m000008","<p:>","<p:>","<p:>","<p:>","p000013","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000006,"sar",6.055,6.515,"## _ _","0002_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar maz̊gliʔin, sarsana axnu ʁaˁrac’an.ǯi.","One was in Mezhgul and the other was in Qaratsan.","m000009 m000010","sa r","**** ****","np.h:s","one HSG","p000014 p000015 p000016","s a r","0003","bridging"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000007,"<p:>",6.515,7.175,"<p:>","0002_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar maz̊gliʔin, sarsana axnu ʁaˁrac’an.ǯi.","One was in Mezhgul and the other was in Qaratsan.","m000011","<p:>","<p:>","<p:>","<p:>","p000017","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000008,"maz̊gliʔin",7.175,7.988,"****","0002_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar maz̊gliʔin, sarsana axnu ʁaˁrac’an.ǯi.","One was in Mezhgul and the other was in Qaratsan.","m000012 m000013","maz̊gli ʔin","**** ****","pn_np:pred_l","Mezhgul SUPER","p000018 p000019 p000020 p000021 p000022 p000023 p000024 p000025 p000026","m a Z_w g l i ? i n","0004","new"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000009,"<p:>",7.988,9.609,"<p:>","0002_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar maz̊gliʔin, sarsana axnu ʁaˁrac’an.ǯi.","One was in Mezhgul and the other was in Qaratsan.","m000014","<p:>","<p:>","<p:>","<p:>","p000027","<p:>","<p:>","<p:>"
"taba1259","doreco_taba1259_mc_tabasaran_belt",core,"TS01",w000010,"sarsana",9.609,10.205,"## _ _","0002_DoReCo_doreco_taba1259_mc_tabasaran_belt","sar maz̊gliʔin, sarsana axnu ʁaˁrac’an.ǯi.","One was in Mezhgul and the other was in Qaratsan.","m000015 m000016 m000017 m000018","sa r sa na","**** **** **** ****","np.h:s==other","one HSG else ADD","p000028 p000029 p000030 p000031 p000032 p000033 p000034","s a r s a n a","0005","bridging"
