Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
ABS,ABS,absolutive
ABSTR,none,abstract
ADD,none,additive
ADV,ADV,adverbial
AG,none,agent
AOR,none,aorist
APUD,none,"spatial case ‘by, near’"
ATTR,none,attributive
CIT,none,verb k’ur ‘say.FUT’ used as a quotative
COM,COM,comitative
COMP,none,comparative particle
COND,COND,conditional
CONT,none,continuative
CONTR,none,contrastive
COP,COP,copula
DAT,DAT,dative
DEF,DEF,definite
DIR,none,spatial case ‘to’
DIST,DIST,distal
DOWN,none,prefixal marker in demonstrative pronoun ‘downwards’
ELAT,none,elative
EMPH,none,emphasis
ERG,ERG,ergative
EXCL,EXCL,exclusive
FOC,FOC,focal particle
FUT,FUT,future
GEN,GEN,genitive
HSG,none,human singular
ICVB,none,imperfective converb
IMP,IMP,imperative
IN,none,spatial case ‘in’
INCL,INCL,inclusive
INDEF,INDF,indefinite
INF,INF,infinitive
INTER,none,spatial case ‘between’
INTERJ,none,interjection
IPFV,IPFV,imperfective
JUSS,none,jussive
LAT,none,lative
LOC,LOC,locative
MSD,none,masdar
NEG,NEG,negative
NMLZ,NMLZ,nominalization
NSG,none,neuter singular
ORD,none,ordinal number
PAT,none,patient
PCVB,none,perfective converb
PFV,PFV,perfective
PL,PL,plural
POSS,POSS,possessive
POST,none,"spatial case ‘behind, after’"
PROH,PROH,prohibitive
PROX,PROX,proximal
PRS,PRS,present
PRT,none,particle
PST,PST,past
PTCP,PTCP,participle
Q,Q,question particle
REFL,REFL,reflexive
RES,RES,resultative
SG,SG,singular
SUB,none,spatial case ‘under’
SUPER,none,spatial case ‘on’
TEMP,none,temporal marker ‘when’
VOC,VOC,vocative
